ID,METODE,DATA,Codi_Districte,Nom_Districte,F0,F1,F2,RENDA,Q1,Q2,EDAT,ID4,ID4_PAIS,ID5,P9,ID7,ID8,ID9,P1,P1A,Q1A,P1B,P2_1,P2_2,P2_3,P2_4,P2_6,P2_7,P2_5,P2_5B,P2,P2A,P2B,P3_1,P3_2,P3_3,P3_0,P3_95,P3_98,P3_99,P4,P5A_1,P5A_2,P5A_3,P5A_4,P5A_5,P5A_6,P5A_7,P5A_8,P5A_9,P5A_10,P5A_11,P5A_12,P5A_13,P5A_14,P5A_15,P5A_16,P5A_17,P5A_18,P5A_19,P5A_20,P5A_18_cod,P6,P7,Q8,P8B,P9B,P10,P10B_1,P10B_2,P10B_3,P10B_4,P10B_5,P10B_6,P10B_95,P10B_98,P10B_99,P11_0,P11_1,P11_2,P11_3,P11_4,P11_5,P11_98,P11_99,P11B,P11C_1,P11C_2,P11C_3,P11C_4,P11C_5,P11C_6,P11C_95,P11C_98,P11C_99,P12,Q12,P13,P13B_1,P13B_2,P13B_3,P13B_4,P13B_5,P13B_98,P13B_99,ID10,ID11,P14,P14_1cod,P14_2cod,P5A_1rec,P5A_2rec,P5A_3rec,P5A_4rec,P5A_5rec,P5A_6rec,P5A_7rec,P5A_8rec,P5A_9rec,P5A_10rec,P5A_11rec,P5A_12rec,P5A_13rec,P5A_14rec,P5A_15rec,P5A_16rec,P5A_17rec,P5A_18rec,P5A_19rec,P5A_20rec,P2_LLAR,Longitud,Latitud,Pes
5,1,20201015,2,Eixample,3,1,1,3,1,64,5,1,,2,,4,3,0,1,2,4,,3,2,1,2,0,0,0,,1,2,95,,,,,,,99,1,1,1,5,2,4,5,1,5,3,5,3,5,5,5,4,4,5,4,2,1,1,2,6,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,7,3,,,,,,,,3,2,,,,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,1,1,1,8,2.1565663,41.3820816,0.7415780
6,1,20201015,5,Sarrià - Sant Gervasi,3,1,1,5,2,58,5,1,,1,1,4,5,0,1,2,98,,7,4,5,1,0,1,0,,1,1,,,,,,,,99,1,1,1,4,1,2,5,1,1,1,4,1,5,4,5,1,2,5,5,2,1,,2,0,,1,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,0,3,,,,,,,,5,2,,,,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,17,2.140351,41.405319,0.5724590
9,1,20201015,7,Horta - Guinardó,3,1,1,2,2,60,5,1,,1,99,3,2,0,1,2,5,,2,2,0,0,0,0,0,,1,2,98,,,,,,,99,1,2,1,2,5,5,5,1,4,3,2,2,4,3,4,1,4,5,5,2,2,,1,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,10,3,,,,,,,,5,2,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,2.1531397,41.4254558,1.7400630
12,1,20201015,2,Eixample,1,1,1,3,2,78,7,1,,3,,1,1,0,1,2,5,,2,1,0,0,0,0,0,,1,1,,,,,,,,99,1,2,1,4,5,5,5,2,3,5,5,1,5,5,5,4,5,5,5,5,5,,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,3,2,,,,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,3,2.1773727,41.4064214,0.9189770
13,1,20201015,1,Ciutat Vella,2,1,1,3,1,47,4,3,528,1,1,4,3,1,1,2,4,,3,1,3,0,2,0,0,,1,1,,,,,,,,99,1,1,1,1,1,5,1,1,3,1,3,2,4,3,5,4,5,5,5,5,1,,2,0,,1,2,1,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,,3,,,,,,,,5,2,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,7,2.1722853,41.3840826,0.9237800
15,1,20201015,5,Sarrià - Sant Gervasi,1,1,1,5,2,64,5,1,,2,,1,1,0,1,2,3,,1,1,1,0,0,0,0,,1,1,,,,,,,,99,1,1,1,4,5,5,5,1,4,4,5,1,5,5,5,4,4,5,5,5,5,,2,6,7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,4,2,,,,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,3,2.1208923,41.3983698,0.5724590
16,1,20201015,2,Eixample,1,1,1,5,2,70,6,1,,3,,1,1,0,1,2,5,,1,1,0,1,0,0,0,,1,1,,,,,,,,99,1,1,1,4,5,5,5,1,98,2,5,3,5,5,4,3,5,5,5,5,1,,5,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,3,2,,,,1,1,1,2,2,2,1,98,1,2,1,2,2,1,1,2,2,2,2,1,3,2.1683995,41.4014972,0.6378260
18,1,20201015,2,Eixample,1,1,1,5,1,53,4,1,,1,4,5,2,1,1,2,5,,1,1,1,2,0,0,0,,1,1,,,,,,,,99,1,1,1,4,2,4,5,1,1,1,2,1,5,4,5,1,4,99,5,2,1,,1,0,,3,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,4,2,,,,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,99,2,1,1,5,2.1649601,41.3865166,0.7253570
20,1,20201015,8,Nou Barris,2,1,1,1,2,72,6,1,,3,,1,1,0,2,,,6,1,0,0,0,0,0,0,,1,2,5,,,,,,,99,7,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,2.1807152,41.4664319,0.5989870
21,1,20201015,9,Sant Andreu,2,1,1,2,2,51,4,1,,1,2,4,4,0,1,2,4,,4,1,3,1,0,0,0,,1,1,,,,,,,,99,1,1,1,1,1,3,5,1,2,3,3,1,1,4,5,4,4,5,5,1,4,,1,0,,2,0,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,2,9,3,,,,,,,,5,2,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,9,2.19242,41.439153,1.6428030
23,1,20201015,1,Ciutat Vella,2,1,1,2,1,30,2,3,68,2,,1,1,0,2,,,95,1,0,0,0,0,0,0,,1,2,1,,,,,,,99,2,2,1,5,2,5,5,2,3,2,5,5,5,5,4,4,4,5,5,5,5,,2,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,3,2,,,,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2.1799414,41.3843552,1.8377240
24,1,20201015,8,Nou Barris,1,1,1,1,2,84,7,1,,3,,1,1,0,2,,,6,0,0,0,0,0,0,0,,2,,,,,,,,,99,7,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,0,2.1827887,41.4419533,0.6166440
25,1,20201015,2,Eixample,1,1,1,4,2,72,6,1,,3,,4,3,0,1,2,3,,3,0,1,1,0,0,0,,1,1,,,,,,,,99,1,1,1,4,4,5,4,1,1,5,5,1,5,5,5,1,2,5,5,5,5,,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,3,2,,,,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,5,2.1544538,41.3926987,0.7058720
26,1,20201015,6,Gràcia,3,1,1,3,1,74,6,1,,3,,3,2,0,1,2,4,,1,0,0,1,0,0,0,,2,,,,,,,,,99,1,1,5,3,5,5,5,1,3,3,3,1,4,5,5,3,4,5,5,5,1,,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,3,2,,,,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2.1556072,41.4101006,0.9409090
27,1,20201015,2,Eixample,1,1,1,4,2,68,6,1,,3,,1,1,0,1,1,3,,1,1,0,1,0,0,0,,1,1,,,,,,,,99,1,1,1,2,1,5,4,1,1,4,4,2,4,5,5,5,4,5,5,5,2,,1,0,,2,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,1,,3,,,,,,,,5,2,,,,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,3,2.1536577,41.3899164,0.7058720
28,1,20201015,2,Eixample,3,1,1,3,1,55,5,1,,3,,5,2,0,2,,,4,1,0,0,0,0,0,0,,1,1,,,,,,,,99,1,1,1,2,5,5,5,1,4,1,5,1,5,5,5,5,5,5,5,5,5,,1,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,2,2,,,,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2.1695553,41.4063827,0.7415780
29,1,20201015,7,Horta - Guinardó,3,1,1,2,1,43,3,1,,1,5,1,1,0,1,2,5,,1,0,1,0,0,0,0,,1,1,,,,,,,,99,1,1,1,5,1,5,5,1,4,1,3,1,3,5,5,4,4,5,5,5,3,,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,4,2,,,,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2.1606786,41.4325808,1.8220920
33,1,20201019,4,Les Corts,1,1,1,4,2,51,4,1,,1,4,4,4,0,1,2,7,,4,1,4,4,0,0,0,,1,1,,1,2,,,,,,1,1,1,1,1,5,5,1,2,2,3,2,3,5,5,3,4,5,3,1,2,1,1,1,6,,2,,,,,,,,,,,,,,3,4,,,,1,,,,,,,,,,2,8,2,,,,,,,,5,2,,,,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,13,2.13746,41.3859,0.7306450
34,1,20201021,6,Gràcia,1,1,1,4,2,47,4,1,,1,3,3,2,0,1,2,9,,3,3,3,1,0,1,0,,1,1,,1,2,,,,,,1,1,1,1,5,5,5,5,3,2,3,1,3,5,5,3,4,5,4,1,5,4,1,0,,1,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,2,,,,,,,,4,2,,,,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,10,2.1574761,41.4092276,0.7306450
43,1,20201019,8,Nou Barris,2,1,1,1,2,65,6,1,,3,,3,2,0,1,98,7,,2,2,1,0,0,1,0,,1,2,95,1,,,,,,,1,4,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,2,2,,,,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,5,2.1837952,41.4454829,0.5989870
44,1,20201019,8,Nou Barris,1,1,1,1,2,63,5,1,,3,,4,3,0,1,1,5,,2,1,0,1,0,0,0,,1,1,,1,,,,,,,1,4,1,1,1,5,1,1,2,1,4,1,5,1,5,5,5,5,5,5,1,,2,0,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,1,1,,,,5,,,2,2,,,,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,4,2.1683081,41.4437556,0.5194690
45,1,20201019,8,Nou Barris,2,1,1,1,1,73,6,1,,3,,4,3,0,1,2,10,,3,0,0,1,0,0,0,,1,1,,1,,,,,,,1,1,1,5,1,4,1,5,4,3,4,2,5,5,5,4,4,5,5,5,4,,1,3,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,2,2,,,,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,4,2.1762709,41.4314422,0.6007360
